UtilizationUnitID,AverageLoad,PeakLoad,MedianLoad,RatedPVpower,AnnualConsumption,AccumualtedEnergy,UtilizationHours,InjectionHours,PowerDrawn,PowerInjected,BatterySize
173306,0.16,1.06,0.2,6,654,722,4842,3746,1.98,5.06,High
156309,0.55,2.06,0.42,10,5160,2720,6363,2321,3.67,6.77,Medium
140505,0.17,1.58,0.03,7,724,660,4043,3816,1.73,5.28,Low
127280,0.07,1.48,0.2,4,660,908,4653,3144,2.09,5.35,High
197620,0.07,1.76,0.14,5,672,377,4780,3148,2.13,3.55,Low
184559,0.14,1.83,0.16,5,682,792,4679,3830,1.76,4.45,Medium
213416,0.26,7.74,0.67,11,4275,9401,5238,2489,3.53,8.07,High
203153,0.08,0.77,0.07,5,739,538,4340,3657,1.67,4.96,Medium
158202,0.11,0.85,0.16,7,637,631,4758,3763,2.23,5.64,Low
192188,0.08,1.25,0.11,8,663,893,4413,3895,2.32,4.36,High
135603,0.14,1.8,0.09,8,726,528,4541,3762,1.99,5.2,Low
165976,0.14,0.89,0.17,6,668,645,4252,3770,1.77,4.54,Medium
146893,9.61,26.29,11.02,23,45954,43055,7591,1508,23.06,12,High
207308,0.85,3.33,0.39,14,3312,7130,6096,2409,8.21,6.31,Medium
143975,11.12,22.15,1.43,19,25871,38627,7343,1152,18.49,11.87,High
142364,0.12,0.97,0.11,5,622,207,4949,3605,2.29,5.44,High
132236,5.47,21.7,7.9,18,15163,45388,6412,1239,36.98,14.23,High
208415,0.37,7.53,0.79,12,3424,2148,5141,2442,6.66,8.55,Medium
189357,0.07,1.06,0.2,6,634,561,4036,3664,1.79,5,High
116886,0.53,7.05,0.54,13,3788,5320,5680,2063,7.63,10.77,Medium
148384,0.49,2.78,0.92,12,4603,7523,5537,2642,8.46,7.36,Medium
121088,5.25,23.15,8.09,19,26754,25262,7469,1149,10.2,12.69,High
187316,0.4,4.98,0.4,12,5447,6355,5937,2516,6.2,9.58,Medium
159704,0.19,0.88,0.28,8,721,131,4494,3549,1.69,4.42,Medium
162511,0.69,8.51,1.19,9,960,4324,5027,2137,3.79,6.05,High
157498,0.2,0.76,0.29,3,662,642,4878,3359,1.53,4.49,Medium
171227,0.37,4.18,1,13,1070,2730,5446,2355,5.33,6.22,Medium
112821,10.77,10.15,3.46,16,49805,29348,6529,1142,37.01,13.94,High
133819,0.05,1.88,0.26,6,706,683,4674,3597,1.87,3.52,Low
141873,2.54,33.72,1.87,18,96906,24094,7054,1695,14.29,11.34,Medium
170901,11.47,18.74,1.88,19,57016,76309,6911,1054,11.84,15.45,High
115869,0.22,7.63,0.93,10,2539,1341,5571,2248,8.14,9.97,Medium
166117,0.06,1.44,0.03,6,661,519,4509,3414,2.47,5.76,Low
140827,0.06,1.49,0.17,3,658,855,4003,3529,2.4,4.92,High
149760,0.38,5.93,1.11,14,5926,4952,5872,2640,7.73,6.15,Medium
148627,0.04,1.96,0.05,4,733,158,4282,3893,2.07,3.54,Medium
161206,2.89,18.66,2.84,23,70277,10135,6735,1548,39.26,15.66,High
124253,0.61,7.38,0.87,13,3889,8107,5696,2562,5.82,7.03,Medium
159229,10.48,16.07,3.45,19,18701,62473,7587,1181,15.4,15.09,High
158710,0.79,3,1.08,10,2460,9533,5467,2792,8.3,7.07,High
113352,0.05,1.67,0.15,7,660,897,4102,3207,2.47,5.53,Low
125543,0.45,7.62,0.66,13,4740,6549,5420,2790,6.94,8.05,Medium
127548,0.05,0.62,0.1,5,682,501,4505,3133,2.07,4.62,High
189739,0.78,2.37,0.61,11,7262,1239,5549,2922,4.37,10.7,Medium
137873,8.59,12.84,10.11,22,52284,21073,6949,1412,33.04,15.63,High
115461,10.72,34.82,7.44,21,44446,49922,7000,1254,18.83,14.7,High
206058,3.79,21.62,1.51,21,32578,63310,7222,1640,13.08,13.97,High
206936,0.45,8.68,0.59,12,7356,4623,5233,2669,5.48,10.26,Medium
154821,0.15,0.84,0.27,4,679,391,4020,3112,2.02,3.21,High
177468,2.89,26.83,5.25,17,55028,39271,6512,1963,32.13,12.62,Medium
176788,0.1,1.97,0.07,6,660,184,4367,3312,2.14,4.65,Low
158099,0.61,6.74,0.39,13,3496,4495,5434,2812,2.92,6.05,High
168954,0.14,1.79,0.26,4,684,295,4961,3060,2.1,3.7,Low
198781,8.76,15.69,10.05,25,23466,35770,7064,1828,9.37,14.58,Medium
111455,0.17,1.44,0.22,4,684,147,4970,3617,1.74,5.46,High
126682,0.04,1.42,0.08,6,641,254,4246,3935,2.09,4.13,Medium
158810,0.08,0.84,0.12,3,667,944,4786,3792,2.14,3.91,Low
182772,0.37,6.4,0.4,9,3850,8757,6200,2911,2.88,6.75,High
188945,11.29,16.8,5.77,23,97273,21642,7334,1858,20.34,14.1,High
189894,0.68,5.43,0.4,9,4037,2375,5877,2508,6.61,7.02,Medium
207399,0.39,6.25,1.18,14,2007,5587,5017,2191,8.45,9.46,High
180956,0.58,3.53,0.7,14,6803,6909,5943,2889,4.99,7.4,Medium
176012,2.59,34.46,7.27,24,84501,63786,7556,1500,13.18,12.37,High
151764,11.91,25.37,4.74,23,99866,62895,6761,1742,39.37,15.55,High
119124,0.48,5.81,0.38,13,7689,6629,6176,2820,4.64,9.09,Medium
178014,0.56,2.52,0.55,13,2114,7568,5181,2595,4.19,10.72,Medium
153577,5,29.81,8.24,15,39685,65773,7531,1675,27.05,14.49,High
142256,6.77,31.97,6.11,24,8191,22958,7059,1456,20.88,11.96,Medium
118373,0.45,3.28,1.05,14,5049,8322,5250,2429,4.24,10.97,Medium
155228,0.58,2.38,1.2,11,6374,2849,5704,2948,3.12,7.93,High
152812,8.18,22.5,3.5,16,97999,27889,7037,1566,34.33,11.2,High
207001,0.06,1.22,0.23,8,720,542,4136,3707,1.74,4.48,Medium
117666,4.83,12.61,2.22,15,41068,47762,7254,1216,22.77,14.72,High
196468,0.19,0.74,0.28,4,654,957,4922,3032,1.9,5.07,Medium
150575,0.54,4.91,1.09,11,2475,8014,5745,2648,8.62,6.18,Medium
129463,0.26,6.67,0.56,14,3393,3890,5207,2865,6.36,7.22,High
147296,0.43,4.99,0.96,9,6176,4875,6282,2858,7.94,9.74,Medium
121702,8.37,11.09,4.33,24,26502,70999,7304,1502,10.84,15.65,Medium
199053,0.24,6.33,0.84,14,6576,3454,5257,2713,8.53,6.18,High
185157,7.82,35.47,3.43,25,83565,18810,7127,1328,30.61,14.98,Medium
111301,0.19,1,0.07,7,627,993,4828,3471,2,4.7,Low
208293,0.73,5.78,1.2,11,4871,6342,6011,2051,8.11,7.92,High
202530,0.14,1.96,0.04,6,648,141,4022,3388,1.94,4.21,Low
175867,2.03,15.56,8.43,21,79417,61400,6712,1168,36.95,14.37,Medium
132940,9.21,14.88,4.58,15,20421,18442,6773,1066,10.63,14.32,High
145416,7.51,16.19,2.48,15,83171,41439,7368,1049,34.45,14.97,Medium
156224,7.36,19.05,2.02,20,69824,34691,6769,1844,13.2,11.27,High
133009,0.1,1.44,0.08,4,699,611,4287,3089,1.9,5.06,High
182395,10.43,28.4,5.04,19,20124,52613,6929,1580,34.61,11.89,High
162797,0.89,4.65,0.4,13,2109,1549,5277,2397,6.39,8.62,Medium
169884,0.78,8.9,0.93,9,6433,4998,5150,2871,8.24,9.65,High
182111,0.11,1.95,0.06,3,736,766,4195,3288,1.62,3.89,Medium
118525,0.18,0.85,0.29,7,696,301,4219,3019,1.82,4.66,Low
205339,11.15,39.02,6.93,19,32481,71249,7523,1742,27.78,13.31,High
209035,2.26,15.14,8.83,18,99105,55094,7211,1839,39.22,11.44,High
171791,0.19,1.24,0.17,5,720,924,4067,3505,2.22,5.23,Medium
125374,7.58,9.15,6.02,19,72195,54105,7576,1606,20.45,13.51,High
146868,8.12,27.63,10,20,68621,21499,7588,1560,29.7,15.83,Medium
179022,0.17,0.72,0.03,8,735,278,4694,3480,2.09,3.61,Low
193463,0.16,0.57,0.25,8,693,847,4003,3566,1.66,5.83,High
153785,7.06,21.39,3.76,15,30214,21541,7060,1421,18.3,14.01,High
202990,0.11,1.09,0.23,5,641,278,4504,3362,1.57,4,Medium
121658,0.57,3.44,0.34,14,6688,5349,5170,2768,6.86,6.35,High
160306,0.77,3.73,0.69,14,1325,7588,5252,2705,4.06,7.06,Medium
163377,0.28,2.69,0.79,9,7430,7456,5676,2262,3.95,10.43,Medium
115060,0.2,2,0.29,5,694,251,4180,3993,2.45,5.28,High
140347,0.16,1.91,0.27,7,683,801,4306,3668,1.9,4.09,Low
190799,9.61,34.41,4.46,17,72165,74196,6670,1830,32.05,14.17,Medium
186475,0.05,1.91,0.08,5,726,219,4960,3472,2.15,4.31,High
134435,0.43,7.99,0.55,14,6505,6218,5748,2464,2.69,6.75,Medium
192846,11.12,25.06,10.43,23,21677,29944,6873,1105,25.06,14.77,High
113725,5.03,11.55,1.78,15,24348,56401,7586,1773,9.91,15.9,High
114894,0.12,0.74,0.14,8,654,932,4377,3671,1.53,4.59,Low
201441,0.09,1.8,0.15,3,674,868,4358,3714,2.24,3.74,Medium
193243,9.18,15.49,2.25,16,73789,53602,6476,1430,20.08,11.75,High
194954,0.11,1.34,0.15,6,660,706,4172,3196,2.14,3.04,Medium
143935,4.44,39.29,2,17,89961,12488,7388,1669,39.26,13.74,High
196070,0.09,1.58,0.19,7,629,543,4066,3381,2.09,4.63,High
178707,1.3,32,9.78,17,33347,76514,6977,1942,32.48,12.7,High
196438,5.64,34,7.25,17,32470,31233,7130,1272,11.64,11.93,Medium
144663,0.24,4.81,0.33,12,6621,6032,5223,2551,6.92,8.97,High
200461,0.07,0.54,0.03,8,651,414,4292,3947,1.83,5.68,Medium
155396,9.39,38.81,6.88,22,94239,27446,6818,1884,33.33,13.8,High
168623,0.14,0.87,0.02,6,698,333,4863,3102,1.77,3.54,High
171004,6.67,32.89,4.07,16,29823,10186,7103,1523,15.58,14.83,High
148280,0.11,1.95,0.15,4,714,817,4181,3590,1.93,3.37,Medium
147330,0.18,1.21,0.29,7,623,953,4307,3481,1.59,5.64,High
192445,0.25,5.93,1.06,9,4890,6592,5383,2924,3.13,7.58,Medium
151630,0.28,6.45,1.19,12,1834,7136,6210,2465,4.29,9.71,Medium
136212,0.88,4.9,0.4,11,1946,8417,6394,2476,6.55,8.82,High
114165,0.62,6.58,0.45,11,3465,7339,5117,2889,3.84,10.47,Medium
112771,9.62,33.48,8.29,24,38053,10840,7231,1543,37.41,11.82,Medium
208218,7.87,29.74,11.07,16,38879,37304,7106,1907,10.85,11.45,High
113759,7.47,38.73,1.6,24,21728,69002,6944,1251,10.84,14.18,Medium
201294,0.45,4.79,0.4,14,5717,5540,6336,2286,2.98,8.29,Medium
177400,3.12,17.76,7.26,16,87834,49082,6737,1005,33.03,12.05,High
200100,9.91,18.8,11.46,24,67760,54829,7504,1636,38.41,13.05,High
179044,6.84,12.72,10.16,17,78531,24090,7364,1985,29.16,12.31,Medium
132198,4.72,30.69,1.63,18,20562,13153,6834,1041,18.95,15.31,High
152452,0.79,6.29,0.7,13,3136,6253,6371,2883,5.66,9.33,Medium
194634,0.42,4.45,0.94,11,4265,4310,5328,2942,8.79,7.28,Medium
211518,2.32,9.87,8.27,18,32724,73266,6650,1052,37.87,15.87,High
187154,0.39,2.48,1.18,10,7316,6518,6100,2301,5.12,9.03,Medium
198168,0.14,1.21,0.26,4,639,936,4242,3524,2.16,4.94,Medium
208399,3.07,14.63,8.1,16,41051,65320,7039,1962,17.62,15.58,High
180595,11.47,12.12,9.58,21,69441,77084,7242,1860,39.92,13.26,Medium
122823,0.65,2.26,0.42,14,4532,8738,5025,2589,6.7,10.29,Medium
115430,0.1,0.58,0.17,4,644,874,4957,3269,2.1,4.67,High
114466,0.16,0.67,0.04,6,635,696,4281,3421,1.58,4.7,Low
112383,10.08,34.94,8.58,25,52732,67645,7102,1561,32.31,13.73,Medium
201381,5.8,27.88,8.84,23,97641,53051,7480,1777,35.31,14.45,High
143938,0.08,1.87,0.06,5,644,839,4925,3806,2.08,3.6,Medium
202010,0.18,1.06,0.08,3,647,278,4660,3891,2.16,5.08,Low
167235,0.05,1.63,0.09,4,624,807,4700,3625,1.96,4.89,High
179848,0.13,1.63,0.19,8,736,684,4627,3160,1.78,4.39,Low
202398,2.28,15.59,4.59,15,65806,36279,6625,1377,21.96,14.68,Medium
212836,0.14,0.85,0.1,8,725,650,4311,3712,1.81,4.61,High
197419,0.07,0.94,0.28,6,692,694,4484,3699,2.03,5.97,Medium
148839,4.37,21.62,11.61,18,83820,22016,7324,1510,14.71,13.74,High
204317,0.13,0.9,0.16,7,722,354,4769,3993,2.38,3.67,High
198301,0.19,1.61,0.21,3,637,664,4370,3163,1.75,5.86,Low
154535,0.49,7.48,1.04,14,4464,3452,5355,2571,6.16,6.59,Medium
148794,0.05,1.59,0.08,7,730,733,4550,3823,2.35,5.44,High
134453,0.19,0.68,0.05,8,729,794,4733,3841,2.09,5.68,Medium
183398,0.72,3.38,0.49,11,3441,1359,6395,2126,8.33,7.45,Medium
213171,0.17,0.53,0.3,6,678,800,4570,3446,2.11,5.2,High
134206,0.48,8.57,0.78,9,3586,7931,6095,2838,4.19,6.55,Medium
172887,0.45,8.38,0.93,13,5943,7996,6240,2015,5,8.54,Medium
159011,7.23,15.84,5.18,20,76624,45214,6520,1648,35.58,12.21,High
165371,0.07,1.3,0.03,3,708,903,4953,3823,2.24,4.11,Medium
117936,10,26.33,1.46,25,79550,22862,6598,1123,28.03,13.12,High
181014,0.14,1.49,0.17,5,659,924,4245,3285,2.02,5.21,High
175449,5.85,14.38,6.99,22,51419,73042,7529,1501,25.22,15.25,High
161818,4.78,29.19,6.03,18,91225,28923,7127,1756,22.41,15.48,Medium
206377,3.02,23.96,4.15,23,64489,74854,7321,1914,35.46,15.57,High
129305,4.29,11.13,8.05,19,73373,49669,6510,1174,30.87,15.9,Medium
195982,1.37,33.07,10.43,20,68528,55244,7227,1206,15.98,14.6,High
202422,4.51,10.07,4.94,19,66814,46159,7470,1336,16.52,12.82,High
127950,0.08,1.31,0.06,6,644,318,4414,3853,2.27,5.4,Low
183151,0.35,2.31,0.49,13,2661,9807,5528,2869,7.15,9.43,Medium
205769,0.27,8.06,0.77,12,6139,8663,5803,2957,8.86,10.87,High
202136,0.17,0.69,0.12,8,677,503,4163,3865,1.81,3.97,Medium
122248,0.76,3.32,0.95,10,2335,3728,6291,2678,8.53,6.17,Medium
136628,0.18,1.1,0.04,6,717,898,4100,3684,2.3,3.19,High
155001,0.13,1.83,0.23,3,669,473,4126,3456,1.78,5.78,Low
137172,8.05,23.64,11.29,19,83210,18015,7369,1302,22.96,13.62,Medium
130291,5.46,25.09,4.66,17,62620,43095,6639,1493,15.72,14.9,High
204054,3.73,36.71,2.39,20,92156,66790,7599,1882,32.83,14.19,Medium
135998,0.13,1.02,0.25,8,637,361,4829,3885,2.28,4.78,Low
214544,2.05,37.87,7.6,23,65822,26335,7126,1201,27.79,12.15,High
183306,0.71,6.67,0.86,13,770,7015,5638,2527,2.72,7.21,Medium
129565,0.41,2.38,1.1,9,4685,9260,5766,2441,6.37,6.8,Medium
165173,0.41,7.26,0.7,10,2068,4863,5454,2525,6.19,7.85,High
157623,3.7,27.61,10.95,19,42412,13451,7430,1949,36.97,16,Medium
142624,8.38,13.53,10.92,25,92288,11992,6482,1978,24.1,11.36,High
147608,0.11,1.74,0.13,5,684,650,4237,3736,2.16,4.42,High
177541,7.48,20.97,3.38,15,98227,12407,6860,1998,13.38,12.59,High
205641,0.46,5.21,0.42,14,4721,1263,5911,2582,4.07,8.24,Medium
154272,0.47,5.16,1.03,13,5727,7724,6346,2967,6.12,8.4,High
200028,0.1,0.58,0.23,7,660,152,4520,3573,2.37,3.02,Medium
120091,0.08,1.18,0.12,5,736,343,4892,3499,1.77,5.88,Low
212673,7.8,29.17,1.52,24,91804,58638,6855,1395,14.8,14.25,High
184011,0.74,3.08,0.53,13,2020,8342,5976,2956,3.07,6.46,Medium
182769,6.33,21.13,4.84,22,91450,12083,6715,1780,33.25,15.14,Medium
151344,0.18,1.61,0.18,3,689,353,4771,3168,1.55,5.79,High
163587,0.19,0.96,0.03,5,691,822,4987,3560,2.25,3.21,Medium
172609,0.07,0.57,0.16,6,646,368,4426,3423,2.4,3.88,Low
152188,0.83,5.79,1.2,10,2577,8209,5137,2778,8.75,9.49,High
145434,3.48,26.79,1.33,16,74909,52616,6800,1871,27.91,13.22,High
181803,11.52,24.63,5.26,23,56530,51822,6462,1607,9.47,14.29,Medium
153472,6.86,25.3,11.03,25,67952,57262,7518,1464,26.03,15.11,High
207582,0.13,0.92,0.26,4,645,489,4888,3687,2.18,4.04,Medium
170172,0.57,5.18,0.62,11,6715,7585,5080,2011,3.78,9.96,Medium
121601,0.62,6.39,1.16,9,4206,3519,5067,2697,8.3,7.97,High
194791,9.76,19.92,6.6,25,50677,27244,7353,1073,33.2,11.58,High
131741,0.52,6.02,0.85,10,3190,1843,5122,2414,6.31,7.35,Medium
175643,0.17,1.31,0.05,7,661,263,4244,3147,1.95,5.59,High
201740,0.6,3.1,0.62,14,5763,6962,6051,2604,3.75,8.55,Medium
122549,0.69,7.56,0.45,10,4132,6054,5888,2341,5.71,8.14,Medium
207336,0.35,2.25,0.68,11,770,6457,5581,2411,3.45,6.27,High
202136,4.91,26.53,4.14,23,8793,45581,7469,1106,24.56,13.91,High
191606,1.52,18.33,2.13,18,16133,62460,6798,1892,18.81,14.63,Medium
211937,0.13,0.86,0.07,5,728,955,4454,3721,2.24,4.18,High
165101,2.16,15.76,7.64,16,31297,69410,6910,1453,17.25,12.82,Medium
132765,0.56,6.41,1.17,9,7785,8395,5002,2040,4.8,9.18,Medium
169460,0.17,1.64,0.12,7,686,474,4749,3093,2.28,5.68,High
114026,0.05,1.04,0.07,4,690,835,4900,3522,1.85,4.45,Low
198750,0.61,4.24,1.15,9,5101,3445,5377,2882,4.31,9.91,Medium
144956,0.47,5.48,0.76,10,3780,7016,5541,2740,5.87,10.13,High
204884,8.96,18.86,2.73,15,16403,36172,6462,1755,22,14.02,Medium
155303,0.32,8.14,1.09,10,5078,1891,5643,2363,4.69,6.11,Medium
205491,0.29,3.61,0.94,10,4058,3822,5743,2428,5.64,8.41,High
148186,0.1,1.35,0.21,6,729,902,4557,3504,1.88,3.63,Low
120084,2.2,18.11,1.44,21,12077,24944,7517,1325,11.18,11.55,Medium
146921,4.78,13.08,9.45,19,39138,21422,7126,1746,28.56,14.65,High
205865,7.35,19.34,10.31,23,81591,54029,7141,1239,26.59,16,Medium
210463,0.67,5.92,0.74,13,2103,6399,5088,2442,7.03,8.74,Medium
170679,0.55,4.08,0.81,11,4944,1565,5616,2598,6.73,6.55,High
116191,0.52,4.44,0.92,13,1461,8090,5829,2214,7.55,7.08,Medium
156964,0.37,5.43,1.02,11,6183,1411,5261,2690,4.5,9.88,Medium
148333,0.07,1,0.19,6,707,541,4039,3615,1.67,3.02,High
184490,0.07,1.35,0.25,5,668,188,4190,3238,1.78,5.55,Medium
167849,0.27,6.66,0.38,10,5663,4143,5931,2149,3.09,6.93,Medium
167375,0.17,1.58,0.22,5,661,848,4542,3896,1.72,3.41,High
193526,2.23,15.95,8.01,21,94555,49627,7590,1072,20.57,15.46,High
154830,0.34,4.77,0.98,14,1870,5260,5082,2060,4.95,10.52,Medium
205743,0.48,6.53,0.77,11,1336,3938,5320,2859,7.73,8.22,High
186429,0.58,5.25,0.69,12,7253,6190,5463,2441,7.53,10,Medium
137845,7.64,12.97,11.68,18,67314,29129,6976,1735,37.31,11.77,High
121927,0.04,1.89,0.24,5,734,944,4989,3968,1.62,3.93,High
154681,0.39,7.87,1.14,13,4027,3413,6028,2715,8.46,8.99,Medium
175961,0.86,3.89,1.07,10,6931,1636,6055,2856,2.71,9.94,Medium
174154,0.46,6.22,0.74,11,6282,8420,5945,2035,5,6.88,High
214641,11.7,36.29,10.86,19,96939,42833,7469,1026,9.04,12.03,Medium
190758,0.78,6.47,0.53,10,4262,8120,5109,2545,5.45,8.18,Medium
160643,10.71,23.81,4.09,20,89413,30253,6623,1112,26.01,14.23,High
196224,0.72,8.38,0.61,13,2159,4149,5543,2496,7.14,7.9,Medium
164971,0.6,7.13,1.16,11,5758,4145,5069,2846,5.45,6.26,Medium
195357,0.58,3.1,0.52,12,1349,1116,6086,2855,4.93,9.05,High
133295,9.93,9.63,10.57,17,26130,48594,7507,1245,35.78,11.64,Medium
134679,10.89,31.28,9.08,23,67140,10423,7520,1560,27.72,14.89,High
124931,0.15,0.66,0.14,4,679,662,4752,3461,2.03,4.23,High
159848,3.96,17.38,7.64,20,20946,63257,6421,1616,35,14.89,High
207479,0.63,7.73,0.42,13,1746,5209,5158,2982,3.22,8.5,Medium
163777,8.84,19.32,6.97,24,8796,65094,6851,1194,23.96,12.64,High
189323,9.7,37.02,5.48,17,85104,55000,7291,1530,37.93,15.64,Medium
186669,0.3,7.67,0.35,11,5798,7565,5564,2145,5.76,6.01,Medium
135265,10.82,39.72,8.68,25,79685,61461,6606,1687,32.05,15.23,High
117731,1.25,13.16,11.7,25,61945,66534,7065,1457,37.98,14.99,High
158018,0.53,4.67,0.37,12,1771,7648,5406,2412,7.55,8.63,Medium
154304,11.18,31.93,6.85,18,81346,42821,7430,1993,20.47,11.2,High
156521,0.29,7.31,0.89,9,2755,9842,5037,2681,4.24,9.13,Medium
137652,3.46,21.16,2.68,21,80976,36179,7362,1134,27.1,13.95,High
111237,6.3,20.8,2.59,15,84021,73548,7378,1704,31.01,15.8,High
187650,0.05,0.63,0.25,6,641,285,4213,3615,1.78,3.69,Low
146504,9.66,34.87,8.8,25,44044,41975,6473,1923,14.42,14.72,Medium
204471,0.18,1.52,0.14,8,725,674,4078,3749,2.12,4.17,High
124485,0.2,0.96,0.07,7,716,380,4024,3841,1.97,3.55,Medium
180544,0.07,1.92,0.25,4,662,260,4411,3428,2.2,4.8,Low
175234,0.1,0.73,0.08,7,632,350,4845,3792,1.62,5.99,High
137795,10.37,32.63,3.64,16,86859,21582,6726,1321,38.5,11.08,High
152046,0.3,3.14,0.97,14,5397,5562,5636,2777,8.31,7.98,Medium
181978,0.19,0.64,0.11,5,721,981,4888,3950,1.94,4.95,High
182264,4.46,32.16,6.21,16,29719,65690,7547,1723,33.3,15.46,Medium
174829,0.48,8.85,0.69,11,7923,2507,5073,2005,6.34,6.8,Medium
128453,0.12,1.41,0.08,5,676,225,4035,3497,1.65,4.68,High
205901,0.86,4.37,0.65,12,6471,2446,5681,2608,4,10.31,Medium
131738,4.77,13.05,9.13,15,29344,27195,6676,1796,12.77,16,Medium
152395,6.75,35.33,4.18,21,73831,58647,7440,1234,16.73,13.65,High
116774,2.14,24.23,6.51,24,65941,36325,6765,1043,10.43,14.62,Medium
139316,9.96,14.66,2.3,15,57550,32430,7224,1655,15.19,15.58,High
139375,0.18,1.86,0.05,3,722,633,4591,3929,2.07,4.23,High
151125,0.88,7.7,1.07,9,4979,2712,5520,2690,5.15,9.45,Medium
153679,0.59,6.44,0.31,14,7300,7459,5515,2448,8.95,7.61,Medium
142875,11.38,11.41,7.34,21,58524,13009,6507,1986,15.66,13.01,High
143472,6.88,33.75,11.03,21,79229,52256,7072,1504,26.9,13.99,Medium
125646,0.2,1.07,0.19,7,659,675,4817,3776,2.17,3.23,Low
142348,9.47,30.12,4.34,15,19988,73272,6795,1575,9.28,11.97,High
195112,0.1,1.06,0.16,5,713,679,4710,3287,1.59,4.23,Low
162014,0.12,1.84,0.19,4,627,371,4975,3136,1.69,4.25,Medium
134543,0.72,7.41,0.48,9,4128,5173,5636,2953,7.57,7.38,High
122052,0.13,1.66,0.03,3,659,379,4768,3862,2.41,3.46,Medium
144701,1.16,37.23,5.08,22,49929,24211,7479,1211,22.62,13.82,High
205919,5.06,36.12,5.19,17,70623,28588,7161,1729,13.88,11.88,High
214036,0.34,7.99,0.68,11,5881,9969,5533,2243,4.69,10.22,Medium
214669,0.13,0.7,0.17,4,642,439,4048,3710,2.47,5.14,Medium
138402,2.58,36.39,2.45,22,97854,59764,6409,1966,24.93,12.86,High
211356,0.16,1.49,0.18,6,649,788,4286,3882,1.81,5.09,Medium
144714,6.92,17.64,2.87,18,60541,39706,7152,1932,15.61,13.07,High
128034,10.12,31.11,6.5,25,37282,51308,7198,1662,12.13,13.87,High
139028,10.9,15.68,11.95,17,33201,73234,6673,1460,12.75,15.72,High
188434,0.17,1.46,0.19,3,712,132,4688,3770,1.94,4.47,Medium
135567,6.37,9.24,11.25,20,65285,23488,6825,1475,36.55,15.99,High
150883,1.08,15.57,5.91,25,40591,48290,6646,1568,14.13,12.87,Medium
119864,0.13,1.15,0.25,6,712,984,4377,3729,1.67,5.72,Low
139681,0.84,3.44,0.57,11,1154,2725,5717,2813,5.44,7.89,High
174882,6.67,13.78,2.95,15,59180,58951,6821,1094,10.17,15.23,High
211676,0.09,1.27,0.18,6,715,546,4648,3873,2.33,4.08,Medium
143921,0.31,2.62,1.1,12,3880,2491,6390,2405,6.79,7.2,High
115587,0.15,1.25,0.29,5,684,667,4114,3882,2.14,3.94,Medium
200244,3.13,23.77,1.83,19,62353,60134,7516,1433,35.5,15.54,High
159496,10.5,14.85,7.55,17,73056,34491,6517,1804,26.45,11.59,High
168394,0.24,3.88,0.82,14,5652,8393,5934,2013,2.82,8.81,Medium
142342,6.03,28.38,5.48,23,33379,34755,7409,1229,26.91,14.24,Medium
111983,0.1,1.71,0.22,4,701,780,4030,3117,2.23,3.21,High
165256,0.74,2.49,0.43,11,3772,3509,5025,2534,7.17,9.96,Medium
139381,0.83,2.74,0.31,12,5392,7404,5300,2396,4.66,7.51,Medium
131718,0.41,6.78,0.83,11,4966,5066,5286,2367,6.95,9.1,High
119228,0.49,4.71,0.61,12,5952,1659,5163,2129,5.21,10.65,Medium
213084,0.15,1.61,0.26,3,712,936,4373,3967,2.38,3.27,Medium
161600,0.39,4.83,0.5,11,3380,6844,5809,2007,2.79,7.39,High
147128,0.18,1.55,0.28,7,638,810,4111,3183,1.54,5.73,Medium
152659,0.5,6.28,0.73,9,5280,7023,5521,2362,3.99,10.81,Medium
187351,0.08,0.6,0.3,4,702,549,4103,3669,1.72,4.2,High
186529,0.19,1.85,0.26,7,695,511,4741,3102,2.47,5.87,Low
138776,9.94,30.22,5.21,24,44297,48556,7252,1522,25.98,13.41,Medium
159357,4.9,25.73,10.85,17,10320,20950,6565,1228,27.54,12.75,High
182625,0.37,2.73,0.66,9,1487,1167,5385,2406,2.58,10.66,Medium
151219,0.15,1.83,0.12,5,707,493,4118,3509,2.3,4.67,Low
207507,0.29,3.32,0.51,9,1542,5425,5248,2784,8.25,7.8,High
200891,0.62,5.94,0.43,10,7332,5349,5805,2004,6.47,10.53,Medium
177437,0.76,4.47,1.04,10,5631,6552,6198,2512,5.83,8.93,Medium
128684,5.22,31.45,7.32,17,53875,42059,6838,1657,38.62,12.79,High
184641,0.11,0.81,0.24,3,663,583,4980,3926,1.79,5.39,Medium
191120,0.9,6.56,0.33,10,5557,9848,5836,2775,2.92,6.77,Medium
148961,0.46,6.17,0.87,10,1980,9618,6374,2566,5.25,6.7,High
169863,0.41,3.86,0.39,10,7091,1924,5420,2745,2.98,8.36,Medium
144000,10.98,16.78,7.11,19,88470,43516,7567,1246,11.61,15.16,Medium
165336,11.78,21.35,2.45,21,41342,17580,6707,1757,32.79,12.62,High
190274,0.07,0.92,0.24,4,647,420,4221,3343,2.23,5.05,Medium
151855,0.05,1.15,0.27,8,691,707,4731,3957,2.1,4.77,Low
194519,0.18,1.63,0.24,6,713,774,4357,3938,2.36,3.26,High
162457,7.65,23.68,8.39,16,85751,18560,7276,1304,37.4,14.82,High
115794,5.93,32.34,9.01,19,32003,29767,6463,1812,38.05,14.64,Medium
